age,nettohh,female,educ_low,educ_med,educ_high,occup_market,occup_house,occup_retired,occup_else,partner,nkids,ID,e_star,e_double_star
52,3700,0,0,0,1,1,0,0,0,1,1,208,0.595281843656267,0.45981807049975
52,3700,0,0,0,1,1,0,0,0,1,2,209,0.414837665412051,0.17156286721729
52,3700,0,0,1,0,0,0,0,1,1,0,210,0.846829955284193,0.800946978582942
52,3700,0,0,1,0,1,0,0,0,0,0,211,0.988769606985443,0.918849361572939
52,3700,0,0,1,0,1,0,0,0,1,0,212,0.347434807255922,0.283555254303792
52,3700,0,0,1,0,1,0,0,0,1,1,213,1,0.819431986390555
52,3700,0,0,1,0,1,0,0,0,1,2,214,0.509958109199943,0.394505149910401
52,3700,0,1,0,0,0,0,0,1,1,2,215,0.508368248607439,0.508368248607439
52,3700,0,1,0,0,0,1,0,0,1,0,216,0.955238095244567,0.1654676258986
52,3700,0,1,0,0,1,0,0,0,1,0,217,0.385937253660813,0.233485732307599
52,3700,0,1,0,0,1,0,0,0,1,1,218,0.633301913076139,0.427445888992224
52,3700,0,1,0,0,1,0,0,0,1,2,219,0.284904267107777,0.21186968251277
52,3700,1,0,0,1,0,0,0,1,0,1,220,1,0.960738083034812
52,3700,1,0,0,1,0,1,0,0,1,0,221,1,1
52,3700,1,0,0,1,0,1,0,0,1,1,222,0.884843492582149,0.804030962019169
52,3700,1,0,0,1,1,0,0,0,1,0,223,0.397716653438692,0.320408076870081
52,3700,1,0,0,1,1,0,0,0,1,1,224,0.838165180226497,0.806307646540517
52,3700,1,0,0,1,1,0,0,0,1,2,225,0.380378917667258,0.317943400827062
52,3700,1,0,1,0,0,0,0,1,1,1,226,0.979416766196664,0.917840533795243
52,3700,1,0,1,0,0,1,0,0,0,2,227,0.887975710626051,0.77121771217935
52,3700,1,0,1,0,0,1,0,0,1,0,228,0.691615962066862,0.691615962066862
52,3700,1,0,1,0,0,1,0,0,1,2,229,0.99023316383682,0.962710590807546
52,3700,1,0,1,0,1,0,0,0,0,0,230,0.840832927562587,0.657199324028625
52,3700,1,0,1,0,1,0,0,0,1,0,231,0.406861045623373,0.352291637776943
52,3700,1,0,1,0,1,0,0,0,1,1,232,0.935699051588017,0.246848739501729
52,3700,1,0,1,0,1,0,0,0,1,2,233,0.696104075679614,0.514850219820801
52,3700,1,1,0,0,0,0,0,1,1,1,234,0.90255622096447,0.76532604892418
52,3700,1,1,0,0,0,1,0,0,1,0,235,0.817880439812143,0.54820276924147
52,3700,1,1,0,0,0,1,0,0,1,1,236,0.989401496255596,0.989401496255596
52,3700,1,1,0,0,0,1,0,0,1,2,237,0.718891484131746,0.481390845649003
52,3700,1,1,0,0,1,0,0,0,0,0,238,0.988778205421113,0.956418383524579
52,3700,1,1,0,0,1,0,0,0,1,0,239,0.444728838068841,0.370352518824802
52,3700,1,1,0,0,1,0,0,0,1,1,240,0.998997995986429,0.791958041962062
52,3700,1,1,0,0,1,0,0,0,1,2,241,0.710039450415934,0.603115222424094
66,1650,0,0,0,1,0,0,0,1,0,0,242,0.760405775807158,0.740767117713403
66,1650,0,0,0,1,0,0,1,0,0,0,243,0.967970689038339,0.913603592962318
66,1650,0,0,0,1,0,0,1,0,1,0,244,0.537826252162631,0.248852363576589
66,1650,0,0,0,1,0,0,1,0,1,1,245,1,0.951748535640945
66,1650,0,0,0,1,1,0,0,0,1,0,246,0.573137962892361,0.534553698882519
66,1650,0,0,0,1,1,0,0,0,1,1,247,0.612161938865029,0.441120383351517
66,1650,0,0,1,0,0,0,0,1,1,0,248,0.758228793893068,0.658219623124751
66,1650,0,0,1,0,0,0,1,0,0,0,249,0.74843458871328,0.416855740135361
66,1650,0,0,1,0,0,0,1,0,1,0,250,0.379174852649157,0.294695481330564
66,1650,0,0,1,0,0,1,0,0,0,0,251,1,0.878517372584611
66,1650,0,0,1,0,1,0,0,0,0,0,252,0.714396292001766,0.582818896618846
66,1650,0,0,1,0,1,0,0,0,1,0,253,0.517244360751647,0.356635884912976
66,1650,0,1,0,0,0,0,0,1,0,0,254,0.987310637334303,0.374991032360413
66,1650,0,1,0,0,0,0,0,1,1,0,255,0.38805030585354,0.386697634698066
